omega,repetition,precision,recall,f1
2.0,0,0.9953703703703703,0.6537793223284101,0.7891976927110643
2.5,0,0.9907834101382489,0.6537793223284101,0.7877518974090553
3.0,0,0.9855926653569089,0.6537793223284101,0.7861060329067642
3.5,0,0.6845078798691644,1.0,0.8127096204766108
4.0,0,0.6389120177629753,1.0,0.7796782387806943
4.5,0,0.5553679131483715,1.0,0.7141306033814178
5.0,0,0.4925117672229354,1.0,0.6599770642201835
5.5,0,0.5152193375111906,1.0,0.6800590841949778
6.0,0,0.4309247472856608,1.0,0.6023024594453167
6.5,0,0.4314901593252109,1.0,0.6028545240277596
7.0,0,0.44864548820892614,1.0,0.6193999730929638
7.5,0,0.3786184210526316,1.0,0.5492722500596516
8.0,0,0.35382723639717184,1.0,0.5227066303360581
8.5,0,0.34337708830548924,1.0,0.5112147457250722
9.0,0,0.35629159572821545,1.0,0.525390847883145
9.5,0,0.32209318595214775,1.0,0.4872473277595513
10.0,0,0.3140518417462483,1.0,0.4779900332225913
10.5,0,0.3088274751811108,1.0,0.47191471914719146
11.0,0,0.29876703439325114,1.0,0.46007794543819325
12.0,0,0.28792995622263917,1.0,0.4471205205399631
13.0,0,0.2731047573852177,1.0,0.4290373683720064
14.0,0,0.26114577424844015,1.0,0.414140505532068
15.0,0,0.25552225552225555,1.0,0.40703739722394133
