omega,repetition,precision,recall,f1
2.0,0,0.970360824742268,0.6542137271937446,0.7815256875973016
2.0,1,0.9394884591391142,0.6542137271937446,0.7713188220230472
2.0,2,0.9716129032258064,0.6542137271937446,0.7819314641744548
2.0,3,0.9561904761904761,0.6542137271937446,0.7768893474335826
2.0,4,0.9629156010230179,0.6542137271937446,0.7790998448008278
2.0,5,0.9537682077264091,0.6542137271937446,0.7760886369492399
2.0,6,0.9691119691119691,0.6542137271937446,0.7811203319502075
2.0,7,0.970360824742268,0.6542137271937446,0.7815256875973016
2.0,8,0.9772874756651525,0.6542137271937446,0.7837626854020296
2.0,9,0.9691119691119691,0.6542137271937446,0.7811203319502075
2.5,0,0.9691119691119691,0.6542137271937446,0.7811203319502075
2.5,1,0.9653846153846154,0.6542137271937446,0.7799067840497151
2.5,2,0.9365671641791045,0.6542137271937446,0.7703324808184144
2.5,3,0.9430181590482154,0.6542137271937446,0.7725057707104386
2.5,4,0.9442006269592477,0.6542137271937446,0.7729022324865281
2.5,5,0.9574062301335029,0.6542137271937446,0.7772903225806452
2.5,6,0.9823874755381604,0.6542137271937446,0.7853976531942634
2.5,7,0.9389027431421446,0.6542137271937446,0.7711213517665131
2.5,8,0.9610721123165284,0.6542137271937446,0.7784957353321272
2.5,9,0.899641577060932,0.6542137271937446,0.7575452716297787
3.0,0,0.9592356687898089,0.6542137271937446,0.777892561983471
3.0,1,0.9567979669631512,0.6542137271937446,0.7770897832817337
3.0,2,0.9453860640301318,0.6542137271937446,0.7732991014120668
3.0,3,0.9531645569620253,0.6542137271937446,0.7758887171561051
3.0,4,0.9359850839030454,0.6542137271937446,0.7701355152135004
3.0,5,0.9616858237547893,0.6542137271937446,0.7786970010341262
3.0,6,0.9489603024574669,0.6542137271937446,0.7744921573669323
3.0,7,0.9629156010230179,0.6542137271937446,0.7790998448008278
3.0,8,0.913280776228017,0.6542137271937446,0.762338648443432
3.0,9,0.9691119691119691,0.6542137271937446,0.7811203319502075
3.5,0,0.9227941176470589,0.6542137271937446,0.7656329435688866
3.5,1,0.9471698113207547,0.6542137271937446,0.7738951695786228
3.5,2,0.9330855018587361,0.6542137271937446,0.7691521961184883
3.5,3,0.9598470363288719,0.6542137271937446,0.7780935158873676
3.5,4,0.9641255605381166,0.6537793223284101,0.7791871602381567
3.5,5,0.9313543599257885,0.6542137271937446,0.7685634090329165
3.5,6,0.9549778059606848,0.6542137271937446,0.7764887857695282
3.5,7,0.9616858237547893,0.6542137271937446,0.7786970010341262
3.5,8,0.9513581806696146,0.6542137271937446,0.7752895752895753
3.5,9,0.9549778059606848,0.6542137271937446,0.7764887857695282
4.0,0,0.9290561381863047,0.6542137271937446,0.7677797603874585
4.0,1,0.9354037267080745,0.6542137271937446,0.7699386503067485
4.0,2,0.9549778059606848,0.6542137271937446,0.7764887857695282
4.0,3,0.9459798994974874,0.6542137271937446,0.773497688751926
4.0,4,0.9471698113207547,0.6542137271937446,0.7738951695786228
4.0,5,0.9302038295243977,0.6542137271937446,0.7681713848508033
4.0,6,0.9666238767650834,0.6542137271937446,0.7803108808290155
4.0,7,0.8958953004164188,0.6542137271937446,0.7562139091137334
4.0,8,0.9244935543278084,0.6542137271937446,0.7662172475197151
4.0,9,0.9574062301335029,0.6542137271937446,0.7772903225806452
4.5,0,0.8985680190930787,0.6542137271937446,0.7571644042232277
4.5,1,0.9537682077264091,0.6542137271937446,0.7760886369492399
4.5,2,0.9592356687898089,0.6542137271937446,0.777892561983471
4.5,3,0.9205378973105135,0.6542137271937446,0.7648552564753682
4.5,4,0.9273399014778325,0.6542137271937446,0.7671930718288336
4.5,5,0.9483627204030227,0.6542137271937446,0.7742930591259641
4.5,6,0.9044471153846154,0.6537793223284101,0.7589510842158346
4.5,7,0.931930693069307,0.6542137271937446,0.7687595712098011
4.5,8,0.9001793185893604,0.6542137271937446,0.7577358490566037
4.5,9,0.9267692307692308,0.6542137271937446,0.7669977081741788
5.0,0,0.9471698113207547,0.6542137271937446,0.7738951695786228
5.0,1,0.9423558897243107,0.6533449174630755,0.771677783478707
5.0,2,0.9290561381863047,0.6542137271937446,0.7677797603874585
5.0,3,0.9365276913503423,0.6537793223284101,0.7700179073931952
5.0,4,0.9604086845466155,0.6533449174630755,0.7776628748707342
5.0,5,0.952561669829222,0.6542137271937446,0.7756889003347927
5.0,6,0.9424280350438048,0.6542137271937446,0.7723076923076924
5.0,7,0.944792973651192,0.6542137271937446,0.7731006160164271
5.0,8,0.9628918746001279,0.6537793223284101,0.778783958602846
5.0,9,0.9507575757575758,0.6542137271937446,0.7750900669068451
5.5,0,0.911070780399274,0.6542137271937446,0.7615676359039192
5.5,1,0.952561669829222,0.6542137271937446,0.7756889003347927
5.5,2,0.9211009174311927,0.6542137271937446,0.7650495300990603
5.5,3,0.9579885423297263,0.6537793223284101,0.77717531629228
5.5,4,0.9061371841155235,0.6542137271937446,0.7598385469223007
5.5,5,0.960997442455243,0.6529105125977411,0.777547853078117
5.5,6,0.9233599019006744,0.6542137271937446,0.7658276125095348
5.5,7,0.9604339502233568,0.6537793223284101,0.7779788058929955
