omega,repetition,precision,recall,f1
2.0,0,0.824793980652096,1.0,0.9039858629491458
2.0,1,0.8166016317843207,1.0,0.8990431556336652
2.0,2,0.8283555235696294,1.0,0.9061208423538674
2.0,3,0.8099929627023223,1.0,0.8950233281493002
2.0,4,0.8060224089635855,1.0,0.892594028693292
2.0,5,0.8203848895224519,1.0,0.9013312451057165
2.0,6,0.8074359873728516,1.0,0.8934601203182612
2.0,7,0.8171813986510472,1.0,0.8993944129712834
2.0,8,0.8189256492351477,1.0,0.9004498337570899
2.0,9,0.8102780711017248,1.0,0.8951973556290104
2.5,0,0.7011879378617119,1.0,0.8243509400179051
2.5,1,0.7011879378617119,1.0,0.8243509400179051
2.5,2,0.6982104943888383,1.0,0.8222896945883194
2.5,3,0.7020433058859409,1.0,0.8249417667084753
2.5,4,0.7065684468999386,1.0,0.8280575539568344
2.5,5,0.7050535987748852,1.0,0.8270163463265673
2.5,6,0.718701217608492,1.0,0.836330608537693
2.5,7,0.7076544727943437,1.0,0.8288028802880288
2.5,8,0.7035452322738386,1.0,0.8259777538571942
2.5,9,0.7120321682647696,1.0,0.8317976513098465
3.0,0,0.6155080213903743,1.0,0.7619993379675604
3.0,1,0.6026178010471204,1.0,0.7520418163998693
3.0,2,0.615343491045175,1.0,0.7618732417673342
3.0,3,0.5988553590010406,1.0,0.7491051090139929
3.0,4,0.6114209827357238,1.0,0.7588594033294874
3.0,5,0.6178207192699946,1.0,0.7637690776376908
3.0,6,0.6133759658939515,1.0,0.7603633360858795
3.0,7,0.6120712576442435,1.0,0.7593600527791522
3.0,8,0.6112586298459904,1.0,0.7587343441001978
3.0,9,0.6119085592769803,1.0,0.7592348284960422
3.5,0,0.5377248306470451,1.0,0.6993771836548686
3.5,1,0.527256069628951,1.0,0.6904619076184764
3.5,2,0.5421573245407443,1.0,0.7031154551007942
3.5,3,0.543822348216395,1.0,0.7045141545524102
3.5,4,0.5368470149253731,1.0,0.6986342943854325
3.5,5,0.5258108725445408,1.0,0.6892215568862274
3.5,6,0.5399953084682149,1.0,0.7012947448591014
3.5,7,0.5444654683065279,1.0,0.705053598774885
3.5,8,0.5392363551182947,1.0,0.7006543905037286
3.5,9,0.5367218465842853,1.0,0.6985282961614322
4.0,0,0.4867836751956016,1.0,0.6548143934006543
4.0,1,0.48874734607218684,1.0,0.6565887050770108
